"hometown","family_name_kana","first_name_kana","name_ja","nick","birthday","team","class","family_name_en","first_name_en","graduate_date"
"埼玉","まつい","さきこ","松井咲子","さきっぺ","1990-12-10","K",7,"matsui","sakiko",
"東京","みねぎし","みなみ","峯岸みなみ","みいちゃん","1992-11-15","K",1,"minegishi","minami",
"東京","みやざわ","さえ","宮澤佐江","さえ","1990-08-13","K",2,"miyazawa","sae",
"京都","よこやま","ゆい","横山由依","ゆい","1992-12-08","K",9,"yokoyama","yui",
"埼玉","よねざわ","るみ","米沢瑠美","よねちゃん","1991-06-06","K",3,"yonezawa","rumi",
"埼玉","いしだ","はるか","石田晴香","はるきゃん","1993-12-02","B",5,"ishida","haruka",
"東京","かさい","ともみ","河西智美","とも～み","1991-11-16","B",2,"kasai","tomomi",
"鹿児島","かしわぎ","ゆき","柏木由紀","ゆきりん","1991-07-15","B",3,"kashiwagi","yuki",
"愛知","きたはら","りえ","北原里英","きたりえ","1991-06-24","B",5,"kitahara","rie",
"埼玉","こばやし","かな","小林香菜","かな","1991-05-17","B",2,"kobayashi","kana",
"愛知","こもり","みか","小森美果","こもりん","1994-07-19","B",7,"komori","mika",
"東京","さとう","あみな","佐藤亜美菜","あみな","1990-10-16","B",4,"satou","amina",
"埼玉","さとう","すみれ","佐藤すみれ","すーちゃん","1993-11-20","B",7,"satou","sumire",
"北海道","さとう","なつき","佐藤夏希","Nなっち","1990-07-01","B",2,"satou","natsuki",
"神奈川","すずき","しほり","鈴木紫帆里","しほりん","1994-02-17","B",11,"suzuki","shihori",
"埼玉","すずき","まりや","鈴木まりや","まりやんぬ","1991-04-29","B",7,"suzuki","mariya",
"東京","ちかの","りな","近野莉菜","チカリーナ","1993-04-23","B",5,"chikano","rina",
"東京","ひらじま","なつみ","平嶋夏海","なっちゃん","1992-05-28","B",1,"hirajima","natsumi",
"大阪","ますだ","ゆか","増田有華","ゆったん","1991-08-03","B",2,"masuda","yuka",
"東京","みやざき","みほ","宮崎美穂","みゃお","1993-07-30","B",5,"miyazaki","miho",
"埼玉","わたなべ","まゆ","渡辺麻友","まゆゆ","1994-03-26","B",3,"watanabe","mayu",
"神奈川","あべ","マリア","阿部マリア","まりあ","1995-11-29",4,10,"abe","maria",
"埼玉","いちかわ","みおり","市川美織","みおりん","1994-02-12",4,10,"ichikawa","miori",
"千葉","いりやま","あんな","入山杏奈","あんにん","1995-12-03",4,10,"iriyama","anna",
"神奈川","おおば","みな","大場美奈","みなるん","1992-04-03",4,9,"oba","mina",
"埼玉","しまざき","はるか","島崎遥香","ぱるる","1994-03-30",4,9,"shimazaki","haruka",
"静岡","しまだ","はるか","島田晴香","はるぅ","1992-12-16",4,9,"shimada","haruka",
"東京","たけうち","みゆ","竹内美宥","みゆみゆ","1996-01-12",4,9,"takeuchi","miyu",
"神奈川","ながお","まりや","永尾まりや","まりや","1994-03-10",4,9,"nagao","mariya",
"東京","なかまた","しおり","仲俣汐里","しおりん","1992-07-25",4,10,"nakamata","shiori",
"千葉","なかむら","まりこ","中村麻里子","こまり","1993-12-16",4,9,"nakamura","mariko",
"千葉","もり","あんな","森杏奈","なんちゃん","1994-03-21",4,9,"mori","anna",
"千葉","やまうち","すずらん","山内鈴蘭","らんらん","1994-12-08",4,9,"yamauchi","suzuran",
"埼玉","いずた","りな","伊豆田莉奈","いずりーな","1995-11-26",,10,"izuta","rina",
"宮城","いわた","かれん","岩田華怜","カレン","1998-05-13",,12,"iwata","karen",
"神奈川","おおもり","みゆう","大森美優","みゆぽん","1998-09-03",,12,"omori","miyu",
"千葉","かとう","れな","加藤玲奈","れなっち","1997-07-10",,10,"katou","rena",
"神奈川","かわえい","りな","川栄李奈","りっちゃん","1995-02-12",,11,"kawaei","rina",
"千葉","こじま","なつき","小嶋菜月","なっつん","1995-03-08",,11,"kojima","natsuki",
"東京","こばやし","まりな","小林茉里奈","まりんちゃん","1996-02-24",,10,"kobayashi","marina",
"東京","サイードよこた","えれな","サイード横田絵玲奈","えれちゃん","1997-04-15",,12,"saidyokota","erena",
"埼玉","ささき","ゆかり","佐々木優佳里","ゆかるん","1995-08-28",,12,"sasaki","yukari",
"東京","すずき","りか","鈴木里香","りかちゃん","1997-01-10",,12,"suzuki","rika",
"茨城","たかはし","じゅり","高橋朱里","じゅり","1997-10-03",,12,"takahashi","juri",
"東京","たの","ゆうか","田野優花","たのちゃん","1997-03-07",,12,"tano","yuka",
"東京","なとり","わかな","名取稚菜","わかにゃん","1995-06-07",,11,"natori","wakana",
"福岡","ひらた","りな","平田梨奈","ひらりー","1998-07-16",,12,"hirata","rina",
"京都","ふじた","なな","藤田奈那","なぁな","1996-12-28",,10,"fujita","nana",
"東京","むとう","とむ","武藤十夢","とむ","1994-11-25",,12,"mutou","tomu",
"埼玉","もりかわ","あやか","森川彩香","あーや","1996-03-24",,11,"morikawa","ayaka",
"埼玉","うさみ","ゆき","宇佐美友紀","ゆっきぃ","1984-12-06","A",1,"usami","yuki","2006-03-31"
"埼玉","うえむら","あやこ","上村彩子","あーや","1986-02-07","K",2,"uemura","ayako","2006-06-17"
"長野","おりい","あゆみ","折井あゆみ","あゆ姉","1985-07-20","A",1,"orii","ayumi","2007-01-25"
"愛知","たかだ","あやな","高田彩奈","あやな","1988-07-21","K",2,"takada","ayana","2007-06-22"
"埼玉","いまい","ゆう","今井優","ゆう","1985-04-17","K",2,"imai","yu","2007-06-22"
"千葉","ほしの","みちる","星野みちる","みっちー","1985-11-19","A",1,"hoshino","michiru","2007-06-26"
"兵庫","わたなべ","しほ","渡邊志穂","しほ","1987-10-25","B",1,"watanabe","shiho","2007-10-02"
"東京","ますやま","かやの","増山加弥乃","かや","1994-02-12","A",1,"masuyama","kayano","2007-11-30"
"大阪","いのうえ","なる","井上奈瑠","なるぽん","1991-12-18","B",3,"inoue","naru","2008-09-29"
"東京","おおえ","ともみ","大江朝美","おーいぇ","1989-06-15","A",1,"oe","tomomi","2008-11-23"
"埼玉","こまたに","ひとみ","駒谷仁美","ひぃピンク","1988-12-16","A",1,"komatani","hitomi","2008-11-23"
"埼玉","とじま","はな","戸島花","はな","1988-07-11","A",1,"tojima","hana","2008-11-23"
"大分","なかにし","りな","中西里菜","りなてぃん","1988-06-26","A",1,"nakanishi","rina","2008-11-23"
"東京","なりた","りさ","成田梨紗","りさ","1991-03-01","A",1,"narita","risa","2008-11-23"
"埼玉","のぐち","れいな","野口玲菜","ぐっさん","1993-04-15","B",3,"noguchi","reina","2009-02-01"
"神奈川","まつおか","ゆき","松岡由紀","まつゆき","1987-10-07","B",3,"matsuoka","yuki","2009-02-01"
"神奈川","かわさき","のぞみ","川崎希","のぞフィス","1987-08-23","A",1,"kawasaki","nozomi","2009-02-27"
"栃木","さおとめ","みき","早乙女美樹","みきポム","1991-06-22",,3,"saotome","miki","2009-04-18"
"千葉","おおしま","まい","大島麻衣","まいまい","1987-09-11","A",1,"oshima","mai","2009-04-26"
"東京","はやの","かおる","早野薫","かおりん","1992-12-12","K",2,"hayano","kaoru","2009-04-26"
"埼玉","なるせ","りさ","成瀬理沙","なるる","1993-08-13","K",4,"naruse","risa","2009-05-24"
"栃木","さえき","みか","佐伯美香","美香ちぃ","1989-10-29","B",4,"saeki","mika","2009-08-23"
"千葉","おおほり","めぐみ","大堀恵","めーたん","1983-08-25","K",2,"ohori","megumi","2010-02-21"
"東京","のろ","かよ","野呂佳代","ノンティー","1983-10-28","K",2,"noro","kayo","2010-02-21"
"埼玉","うらの","かずみ","浦野一美","CinDy","1985-10-23","B",1,"urano","kazumi","2010-04-16"
"広島","こはら","はるか","小原春香","春ちゃん","1988-04-12","B",5,"kohara","haruka","2010-04-16"
"静岡","さとう","ゆかり","佐藤由加理","ゆかりん","1988-11-22","A",1,"satou","yukari","2010-05-27"
"東京","おの","えれな","小野恵令奈","えれぴょん","1993-11-26","K",2,"ono","erena","2010-09-27"
"東京","おく","まなみ","奥真奈美","まぁちゃん","1995-11-22","B",2,"oku","manami","2011-06-19"
"三重","でぐち","あき","出口陽","でっぴ","1988-03-14",,4,"deguchi","aki","2007-11-26"
"大分","なかにし","ゆうか","中西優香","チュンチュン","1988-06-26",,4,"nakanishi","yuka","2008-08-26"
